               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13901,             0.01098,            0.053551,                   0,                   0,                   0,                   0,             0.14145,           0.0085211,            0.045571,              0.0991,              0.0001,              0.0001
                   1,            0.090774,            0.010936,            0.036637,                   0,                   0,                   0,                   0,             0.14054,           0.0085614,            0.044717,            0.097294,          0.00029406,          0.00029406
                   2,             0.13957,            0.011206,            0.054273,                   0,                   0,                   0,                   0,             0.13926,           0.0086404,            0.042992,             0.09548,           0.0004802,           0.0004802
                   3,             0.13727,            0.011249,            0.054687,                   0,                   0,                   0,                   0,             0.13736,           0.0087951,            0.040898,            0.093658,          0.00065842,          0.00065842
                   4,             0.13456,            0.012265,            0.051721,                   0,                   0,                   0,                   0,             0.13601,           0.0089917,            0.039259,            0.091829,          0.00082872,          0.00082872
                   5,             0.13228,            0.011247,            0.044981,                   0,                   0,                   0,                   0,             0.13326,            0.009393,            0.036789,            0.089991,           0.0009911,           0.0009911
                   6,            0.086885,            0.012233,            0.033824,                   0,                   0,                   0,                   0,             0.13055,           0.0098363,            0.034767,            0.088146,           0.0011456,           0.0011456
                   7,             0.10926,            0.011653,            0.035131,                   0,                   0,                   0,                   0,             0.12799,            0.010194,            0.032137,            0.086292,           0.0012921,           0.0012921
                   8,             0.12998,            0.011164,            0.038599,                   0,                   0,                   0,                   0,             0.12597,              0.0104,            0.029843,            0.084431,           0.0014307,           0.0014307
                   9,            0.084688,             0.01363,            0.029409,                   0,                   0,                   0,                   0,             0.12427,            0.010547,            0.027599,            0.082561,           0.0015614,           0.0015614
                  10,             0.12544,            0.013488,            0.036061,                   0,                   0,                   0,                   0,             0.12258,             0.01055,            0.025361,            0.080684,           0.0016842,           0.0016842
                  11,             0.12523,            0.012175,            0.029324,                   0,                   0,                   0,                   0,             0.12258,             0.01055,            0.025361,            0.078799,           0.0017991,           0.0017991
                  12,             0.12406,            0.011439,            0.032114,                   0,                   0,                   0,                   0,             0.12271,            0.010405,            0.023675,            0.076906,            0.001906,            0.001906
                  13,            0.099039,             0.01043,            0.023473,                   0,                   0,                   0,                   0,             0.11118,             0.01061,            0.022021,            0.075005,            0.002005,            0.002005
                  14,            0.099696,            0.011591,            0.025895,                   0,                   0,                   0,                   0,             0.11118,             0.01061,            0.022021,            0.073096,           0.0020961,           0.0020961
                  15,             0.10244,            0.011064,            0.023121,                   0,                   0,                   0,                   0,             0.11695,             0.01036,            0.020485,            0.071179,           0.0021793,           0.0021793
                  16,             0.12295,            0.012429,            0.027264,                   0,                   0,                   0,                   0,             0.11855,            0.010338,            0.018891,            0.069255,           0.0022546,           0.0022546
                  17,               0.104,            0.011701,            0.021945,                   0,                   0,                   0,                   0,             0.11855,            0.010338,            0.018891,            0.067322,           0.0023219,           0.0023219
                  18,            0.096479,            0.011616,            0.020248,                   0,                   0,                   0,                   0,             0.11518,            0.010329,            0.017076,            0.065381,           0.0023813,           0.0023813
                  19,              0.1083,            0.012735,            0.018934,                   0,                   0,                   0,                   0,             0.11518,            0.010329,            0.017076,            0.063433,           0.0024328,           0.0024328
